CID,pIC50
64129686,-1.423122923
18189654,-0.231083152
54937489,-0.74476198
11657050,-1.949970011
34389624,-0.636612061
22461697,-1.41991895
37727461,-1.31150666
13766886,-1.013661671
73591124,-1.261657854
21637474,-1.294003815
55673758,-1.293493174
83160448,-2.046231469
109528751,-1.932715164
32831474,-0.712615752
13027897,-1.124804887
3343325,-1.139208637
15114871,-1.839526999
64891086,-2.428749353
5478380,-0.466723086
36694371,-1.167083613
46362263,-0.729693471
61445349,-1.488807673
62138353,-1.478366006
109243681,-1.624611375
59087411,-0.964202877
53914994,-2.164335776
16045001,-2.261922408
23572853,-1.030027117
89934715,-1.983386315
109072810,-1.519256587
60300835,-1.315787141
20501184,-0.313577233
51703762,-1.424072961
20860675,-1.194347896
13442648,-1.414429845
96581876,-1.892250582
65218284,-0.710144756
57094490,-0.908255988
55477383,-0.445424447
37862536,-1.177609017
93193392,-1.884431133
59827594,0.064463744
37891441,-0.087139279
46722077,-0.991806894
59435382,-1.6092446
12562166,-1.406034509
66592757,-1.613304905
15283897,-1.568296026
60372966,-1.169014935
103670944,-2.070611283
66651650,-2.070680131
14048705,-2.149470152
16721099,-0.874492729
21927427,-0.633247414
23473444,-0.925797931
60757701,-1.613398067
76921303,-1.657901908
64425600,-1.030153474
64450393,-1.578066525
14808995,-0.611378513
15302371,-1.318484662
17875075,-1.637697553
64156061,-1.247992303
13754859,-2.540699145
12720743,-0.946029653
62068108,-1.306701868
3523674,-1.587099911
31138809,-0.656307985
8516521,-0.404816312
20572937,-0.439507259
38758539,-2.018211193
15723299,-0.676606719
9121155,-0.143044698
26000779,-0.824042624
12023752,-1.552790963
25592201,-1.1266404
40004271,-1.270525329
22431197,-1.124910883
9790290,-0.831558553
54815805,-0.819321442
6561312,-1.279726626
67097815,-0.783705739
89282130,-1.1234249
62300809,-1.355074155
13041642,-1.506946759
27083011,-1.35871126
13833066,-0.387392724
35174064,-0.915193824
13309125,-0.199111821
53242106,-1.862872071
18608931,-2.354220124
19189720,-1.105322263
57544130,-1.212881609
87394438,-1.988390126
44320507,-0.863774106
20514268,-1.096461571
18079810,-1.071761233
17318973,-1.48938088
39718211,-1.112283824
89144957,-1.845117938
27733541,-1.136630232
32237425,-1.235412255
13603725,-1.284858776
51019550,-1.369892076
55231295,-1.854768316
15579464,-2.272475332
129963058,-1.836248519
78385258,-0.881078704
59135177,-1.770540272
21423118,-2.033650534
16134349,-0.458265013
123193198,-1.33532657
100931989,-1.209499989
86725274,-1.832367627
109424563,-1.186398526
57842401,-0.787072021
53943737,-1.604080089
63749703,-1.227417455
122614839,-2.175973952
14473549,-1.451235662
11972267,-1.534622487
25188794,0.164582574
15084931,-1.050193821
20894052,-0.564865049
4247273,-1.311020103
116742167,-1.444173548
52890215,-0.849955379
43855034,-1.537053016
18415796,-1.557568677
55312577,-1.317986824
14703831,-0.880614983
106945082,-1.951069673
20736563,-1.213423118
28259437,-1.169902404
72408564,-0.270258457
57122161,-2.771706139
65237029,-1.554882295
8539432,-1.894150787
24203173,-1.585096471
115095309,-0.514065924
22414816,-1.08360081
25039457,-1.867772698
29712586,-1.201904663
18099096,-1.201055147
18520511,-0.922525752
30944802,-1.451506797
68026929,-2.11707715
23375160,-1.300983349
14418597,-0.860323255
42363024,-1.150568073
63706811,-1.207923706
15594583,-0.142669864
73438198,-1.45330116
18063658,-1.678987488
20375410,-0.320187441
14567537,-1.094002352
101090746,-1.699992911
49018986,-1.118331082
21928269,-1.539366362
50055581,-1.166127602
95570907,-1.760293015
17501939,-0.930839218
97797983,-2.132897094
20460968,-1.313101345
28589556,-1.030855759
53226285,0.37004054
16053170,-0.488902045
23196219,-1.35720884
88378715,-1.380894936
103278110,-1.939132136
86053325,-1.751707876
62909405,-0.687145131
12350741,-1.019498435
28379417,-1.492711601
29572657,-1.041040172
29181501,-1.023377029
30375662,-0.967645887
72937335,-1.541371067
51460032,-1.436903607
49796216,-1.19128661
18163181,-1.357239025
25668309,-0.593535211
15204740,-1.167076095
87554291,-1.946353955
57057391,-1.850910629
124848271,-1.471432846
96267998,-0.438705998
18423708,-1.996636508
52675666,-1.993363961
16063346,-1.107266513
23592567,-0.849324163
62861644,-1.578509945
15582101,-1.104764837
16711411,-1.279220798
54954011,-0.729478336
123259630,-1.669483811
19694942,-0.750098367
32401550,-0.507342288
11959626,-0.776421521
97484065,-1.486409132
12844125,-1.115702499
51273282,-1.037000996
62444172,-1.110521915
51413360,-1.59158292
9074999,-0.851389903
22210038,-0.629751063
12304513,-0.717703268
16812495,-0.9888489
63870261,-1.020420254
12803463,-1.181449732
52601385,-0.97029345
57472942,-1.255303734
71640665,-1.836675403
89106383,-0.851512591
10948295,-1.318304926
40833624,-1.171853674
47584300,-2.415682267
59639989,-1.197247757
91262094,-0.574619022
62204091,-2.376808579
47677536,-0.749336374
48611370,-1.49648594
34044793,-1.014579394
52419415,-1.19161207
74738187,-2.285903559
31137479,-0.903390598
10636214,-0.128035198
86252260,-0.980490365
46319014,-1.498187337
67238749,-1.374029515
84656611,-2.004942618
23006082,-1.290455809
31893701,-0.872450647
21327947,-1.237828202
26226362,-0.57322755
56336900,-1.110051412
17814515,-1.292798102
56886646,-0.50036291
55878928,-1.532643376
80231602,-2.61303901
39177098,-0.991227787
20002860,-1.561507328
52491447,-0.723427977
83781236,-2.507222675
18011524,-1.560990382
14410502,-0.922675559
73161412,-1.460799191
12139637,-1.274048052
36147544,-1.236789965
53081111,-2.192821464
26663578,-1.050082664
48814383,-1.381754933
30548247,-0.029278982
13638198,-0.352364661
16959053,-0.021509639
42086654,-1.386935673
52392380,-1.263699587
17815081,-1.350838158
59275747,-1.766130515
32619339,-1.688988517
55376224,-1.517083705
22447631,-0.376447943
70117767,-1.480496012
88854743,-1.128583536
44386273,-0.402908088
13460057,-0.993766821
35897136,-1.919775884
51092916,-0.783878862
13378869,-0.95117588
74790106,-1.567891457
94037124,-1.91940956
15342292,-1.021974937
48854675,-2.724661166
103256975,-1.801635129
14951108,-0.932009204
86852089,-2.203430355
46336310,-0.239863764
81978839,-1.808022258
9399633,-2.080886304
31546071,-0.971132867
25373337,-1.360299775
30285950,-1.122030197
67119934,-2.089523692
16286118,-1.391171931
50686888,-1.595595568
58946675,-1.168084547
22329824,-0.705339636
57673770,-0.610866758
20519868,-1.031620229
111429501,-1.792184767
25596220,-1.167523281
50968337,-0.964619193
21735270,-0.808747987
122065866,-1.657880411
79976553,-1.540613257
36540799,-1.647574479
53695875,-1.350362774
47968678,-1.82423616
38780358,-1.494408128
29154170,-1.453937786
98662881,-2.47696676
21419114,-2.087630988
78338698,-0.966450639
112992879,-1.951046086
64904248,-2.024768386
35768963,-0.665018
31845972,-0.719951593
31887571,-0.830488434
56806023,-0.917291817
9944956,-0.824300561
23114695,-1.081365856
68811530,-1.038572318
112608213,-2.284032752
16980783,-0.416454744
10484948,-1.392561732
19211864,-1.095088312
