,CID,pIC50
0,2744814,-0.477121255
1,2821293,-1.0
2,2820912,-1.041392685
4,2744846,-1.146128036
5,2745617,-1.176091259
6,2745640,-1.176091259
7,2745653,-1.176091259
8,16075059,-1.477121255
9,135411083,-1.602059991
10,2811874,-1.602059991
11,135410958,-1.653212514
12,135411084,-1.77815125
13,135411085,-1.77815125
14,135408428,-2.0
15,135410963,-2.301029996
16,2744870,-2.301029996
17,135411086,-2.301029996
18,135419065,-2.301029996
19,135411087,-2.301029996
20,2810524,-2.397940009
21,2918713,-2.477121255
23,135411089,-2.477121255
24,135411090,-2.544068044
25,2823615,-2.602059991
26,1342108,-2.698970004
28,318797,-1.394451681
29,624381,-1.324282455
30,496348,-2.35545152
31,114917,-1.587710965
32,5316743,-1.158362492
33,160142,-1.324282455
34,2799606,0.522878745
35,2774892,0.045757491
36,2819040,-0.77815125
37,2797358,-1.079181246
38,2726174,-1.113943352
39,2726176,-1.113943352
40,2774667,-1.176091259
42,2775844,-1.204119983
43,4270495,-1.204119983
44,70871,-1.397940009
46,2822496,-0.477121255
47,3776668,-0.698970004
48,2742278,-1.0
49,2819269,-1.176091259
50,2820775,-1.204119983
51,4398304,-1.255272505
52,2809433,-1.255272505
53,4305683,-1.301029996
54,23644661,-1.602059991
55,16203797,1.200659451
56,16204418,1.22184875
58,16204417,0.681936665
59,16203799,0.301029996
60,16203906,0.785156152
61,16204423,0.156767222
63,16204115,0.477555766
64,16202858,0.164943898
65,16203908,0.906578315
66,10804277,0.966576245
68,73056465,-1.501196242
69,73056466,-1.50623436
70,73056467,-1.542949849
71,73056760,-1.003029471
72,73056761,-1.710371264
74,8027611,-1.102433706
75,4117477,-0.071882007
76,73056762,-0.352182518
77,76320984,-0.633468456
78,73056763,-1.072984745
79,73056764,-1.827369273
80,4614896,-0.996073654
81,4378077,-1.14176323
82,73057090,-0.017033339
83,73057089,-1.2509077
84,73057388,-0.450249108
85,73056765,-1.918606915
86,0,-1.14176323
87,73055922,-0.741939078
88,0,-1.146128036
89,73057088,-1.600646236
90,73057091,-0.227886705
91,0,-0.672097858
92,44398160,-0.857332496
93,44398002,-0.973127854
95,44398055,-1.117602692
96,44398343,-0.301029996
97,11667869,0.008773924
98,44398207,-0.683047038
99,11796320,0.022276395
100,44398344,-1.049218023
101,44398231,-1.371067862
102,44398546,-1.099335278
103,44398436,-1.243038049
