Accession,Length,Nuc_Completeness,Geo_Location
NC_045512,29903,complete,China
MW426406,29884,complete,Tunisia
MW428253,29899,complete,Tunisia
MW430964,29876,complete,USA: California
MW430965,29873,complete,USA: California
MW430966,29835,complete,USA: California
MW430967,29812,partial,USA: California
MW430968,29837,partial,USA: California
MW430969,29854,partial,USA: California
MW430970,29850,complete,USA: Florida
MW430971,29873,complete,USA: Florida
MW430972,29862,complete,USA: Florida
MW430973,29877,complete,USA: Florida
MW430974,29861,complete,USA: Florida
MW430975,29843,complete,USA: Florida
MW430976,29867,complete,USA: Florida
MW430977,29876,complete,USA: Florida
MW430978,29845,partial,USA: Florida
MW430979,29855,partial,USA: Florida
MW430980,29843,partial,USA: Florida
MW430981,29842,complete,USA: Florida
MW430982,29845,partial,USA: Indiana
MW430983,29859,complete,USA: Indiana
MW430984,29854,complete,USA: Massachusetts
MW430985,29868,complete,USA: Massachusetts
MW430986,29852,partial,USA: Massachusetts
MW430987,29849,partial,USA: Massachusetts
MW430988,29874,complete,USA: Massachusetts
MW430989,29885,complete,USA: Massachusetts
MW430990,29867,complete,USA: Pennsylvania
MW430991,29848,complete,USA: Pennsylvania
MW426075,3822,partial,Iran
MT628700,29830,complete,Hong Kong
MT628701,29830,complete,Hong Kong
MW305250,29735,complete,Russia
MW305251,29841,complete,Russia
MW425563,29849,complete,India
MW425707,29831,partial,USA: TX
MW425708,29868,complete,USA: TX
MW425709,29899,partial,USA: TX
MW425710,29866,partial,USA: TX
MW425711,29824,partial,USA: TX
MW425712,29819,partial,USA: TX
MW425713,29819,partial,USA: TX
MW425714,29837,partial,USA: TX
MW425715,29869,complete,USA: TX
MW425716,29834,complete,USA: TX
MW425717,29887,partial,USA: TX
MW425718,29854,partial,USA: TX
MW425719,29819,complete,USA: TX
MW425720,29818,complete,USA: TX
MW425721,29825,partial,USA: TX
MW425722,29866,complete,USA: TX
MW425723,29824,partial,USA: TX
MW425724,29832,partial,USA: TX
MW425725,29866,partial,USA: TX
MW425726,29823,partial,USA: TX
MW425727,29891,complete,USA: TX
MW425728,29846,partial,USA: TX
MW425729,29865,partial,USA: TX
MW425730,29839,partial,USA: TX
MW425731,29853,partial,USA: TX
MW425732,29829,partial,USA: TX
MW425733,29899,partial,USA: TX
MW425734,29865,partial,USA: TX
MW425735,29857,complete,USA: TX
MW425736,29832,partial,USA: TX
MW425737,29816,partial,USA: TX
MW425738,29865,partial,USA: TX
MW425739,29865,partial,USA: TX
MW425740,29860,partial,USA: TX
MW425741,29866,complete,USA: TX
MW425742,29826,partial,USA: TX
MW425743,29831,complete,USA: TX
MW425744,29891,partial,USA: TX
MW425745,29834,partial,USA: TX
MW425746,29826,partial,USA: TX
MW425747,29894,complete,USA: TX
MW425748,29865,partial,USA: TX
MW425749,29846,complete,USA: TX
MW425750,29847,complete,USA: TX
MW425751,29900,complete,USA: TX
MW425752,29892,partial,USA: TX
MW425837,29854,complete,India
MW425851,29850,complete,USA
MW425852,29864,complete,USA
MW425853,29842,complete,USA
MW425854,29864,complete,USA
MW425855,29840,complete,USA
MW425856,29846,complete,USA
MW422884,29866,complete,India
MW423684,29871,complete,Italy: Abruzzo
MW423685,29877,complete,Italy: Abruzzo
MW423686,29903,complete,Italy: Abruzzo
MW424821,29835,partial,USA: TX
MW424822,29867,partial,USA: TX
MW424823,29832,partial,USA: TX
MW424824,29842,complete,USA: TX
MW424825,29867,partial,USA: TX
MW424826,29861,partial,USA: TX
MW424827,29862,complete,USA: TX
MW424828,29859,partial,USA: TX
MW424829,29818,partial,USA: TX
MW424830,29857,partial,USA: TX
